id;reference;transaction_ref;refund_date;refund_status;amount
1;au-dehors jeter au-dedans de;de peur que;2024-10-19T09:31:12;FAILURE;29668.85
2;prétendre toujours;afin que;2024-10-19T16:22:21;FAILURE;31270.47
3;là-haut alors que derrière;neutre;2024-10-19T10:31:16;FAILURE;16796.55
4;reculer pour grrr;afin que tard au-delà;2024-10-19T22:06:44;PENDING;19245.34
5;chef de cuisine;hypocrite;2024-10-19T23:04:25;FAILURE;2389.55
6;essuyer à l'égard de d’autant que;géométrique toc-toc fixer;2024-10-19T19:37:45;FAILURE;29543.51
7;comme;infime proche de de par;2024-10-19T20:55:26;FAILURE;3188.76
8;pacifique;rapide;2024-10-19T08:19:45;PENDING;14718.52
9;foule;membre du personnel antagoniste;2024-10-20T01:28:00;PENDING;18907.63
10;concernant au-dehors jeune;d'abord;2024-10-19T20:11:04;PENDING;29831.67
